RMSE,R^2 Adjusted,Features
29651.0788147314,0.85554218704267,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Exterior 1st_PreCast', 'MS Zoning_I (all)', 'Fireplace Qu_Fa', 'Exterior 1st_VinylSd', 'Bsmt Exposure_Gd', 'Alley_Grvl', 'Garage Finish_Unf', 'Functional_Sal', 'Fireplaces', 'Mas Vnr Type_NA', 'Bsmt Exposure_Mn', 'Pool QC_Fa']"
29702.3477856961,0.8553269874549844,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Neighborhood_Greens', 'Fireplace Qu_NA', 'Bsmt Cond_NA', 'Neighborhood_Mitchel', 'Exterior 1st_Plywood', 'House Style_1.5Unf', 'Neighborhood_NridgHt', 'Garage Cond_Fa']"
29705.95497710425,0.8552918457927589,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Condition 1_Norm', 'Overall Cond', 'Fireplace Qu_TA', 'Roof Matl_WdShngl', 'Sale Type_Oth', 'Lot Area', 'Neighborhood_NWAmes', 'Full Bath']"
29712.433265416872,0.8552287228690324,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'House Style_2.5Unf', 'Garage Cars', 'Heating QC_TA', 'Alley_Grvl', 'MS SubClass', 'Bsmt Cond_Fa', 'Fireplace Qu_TA', 'Condition 1_Norm']"
29713.399221796808,0.8552193096371585,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Garage Qual_NA', 'Exterior 2nd_Stucco', 'MS SubClass', 'Roof Matl_Membran', 'Neighborhood_CollgCr', 'Open Porch SF', 'Neighborhood_Landmrk', 'Neighborhood_NWAmes']"
29684.496674194874,0.8552163849839414,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Roof Matl_Roll', 'Fireplaces', 'Paved Drive_Y', 'Kitchen Qual_TA', 'Neighborhood_IDOTRR', 'Heating_OthW', 'Garage Type_BuiltIn', 'Fireplace Qu_NA', 'Bsmt Qual_TA', 'Foundation_CBlock', 'Functional_Sev', 'Open Porch SF']"
29687.724749454705,0.8551848939451496,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Neighborhood_NPkVill', 'Garage Cond_TA', 'Total Bsmt SF', 'House Style_2.5Unf', 'Mo Sold', 'Exterior 2nd_ImStucc', 'Neighborhood_Blueste', 'Heating_OthW', 'Exterior 2nd_Other', 'Bsmt Cond_Po', 'Sale Type_WD ', 'Neighborhood_NridgHt']"
29722.78442546209,0.8550566447703201,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Wood Deck SF', 'Exterior 1st_MetalSd', 'MS SubClass', 'MS Zoning_RH', 'Mas Vnr Type_NA', 'Exterior 2nd_Wd Shng', 'Kitchen Qual_Fa', 'Neighborhood_Blueste', 'Condition 1_RRNe']"
29732.5418706505,0.8550327016593309,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Misc Feature_Gar2', 'Overall Cond', 'Exter Qual_TA', 'Kitchen Qual_TA', 'Condition 1_RRAe', 'Bldg Type_2fmCon', 'Functional_Mod', 'Functional_Mod']"
29718.4808491806,0.8549560652465761,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Roof Matl_CompShg', 'Lot Shape_Reg', 'Paved Drive_P', 'Bldg Type_TwnhsE', 'BsmtFin Type 2_BLQ', 'Bldg Type_2fmCon', 'Wood Deck SF', 'Fireplace Qu_Gd', 'Bldg Type_Twnhs', 'Bsmt Cond_NA', 'Functional_Sev']"
